row_key,site,product_slug,name,price,brand,category,url,scraped_at,scraped_date,scraped_hour,day_of_week
iris#iris_iris_laptop_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-54-04_#2026-05-04T02-54-04Z,iris,iris_iris_laptop_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-54-04_,"Écran 27"" Plat Full HD Samsung S30GD (LS27D300GAUXEN)",1329,SAMSUNG,laptop,https://www.iris.ma/37222-ecran-27-plat-full-hd-samsung-s30gd-ls27d300gauxen.html,2026-05-04 02:54:04.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-53-46_#2026-05-04T02-53-46Z,iris,iris_iris_laptop_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-53-46_,"Écran 27"" Plat Full HD Samsung S30GD (LS27D300GAUXEN)",1329,SAMSUNG,laptop,https://www.iris.ma/37222-ecran-27-plat-full-hd-samsung-s30gd-ls27d300gauxen.html,2026-05-04 02:53:46.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-59-50_#2026-05-04T02-59-50Z,iris,iris_iris_laptop_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-59-50_,"Écran 27"" Plat Full HD Samsung S30GD (LS27D300GAUXEN)",1329,SAMSUNG,laptop,https://www.iris.ma/37222-ecran-27-plat-full-hd-samsung-s30gd-ls27d300gauxen.html,2026-05-04 02:59:50.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-53-08_#2026-05-04T02-53-08Z,iris,iris_iris_laptop_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-53-08_,"Écran 27"" Plat Full HD Samsung S30GD (LS27D300GAUXEN)",1329,SAMSUNG,laptop,https://www.iris.ma/37222-ecran-27-plat-full-hd-samsung-s30gd-ls27d300gauxen.html,2026-05-04 02:53:08.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-53-12_#2026-05-04T02-53-12Z,iris,iris_iris_moniteur_cran_27__plat_full_hd_samsung_3db1a4_2026-05-04_02-53-12_,"Écran 27"" Plat Full HD Samsung S30GD (LS27D300GAUXEN)",1329,SAMSUNG,moniteur,https://www.iris.ma/37222-ecran-27-plat-full-hd-samsung-s30gd-ls27d300gauxen.html,2026-05-04 02:53:12.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-54-08_#2026-05-04T02-54-08Z,iris,iris_iris_moniteur_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-54-08_,"Écran 27"" UHD 4K MSI Pro MP273U (9S6-3PB4CH-208)",2499,MSI,moniteur,https://www.iris.ma/25738-ecran-27-uhd-4k-msi-pro-mp273u-9s6-3pb4ch-208.html,2026-05-04 02:54:08.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-54-16_#2026-05-04T02-54-16Z,iris,iris_iris_laptop_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-54-16_,"Écran 27"" UHD 4K MSI Pro MP273U (9S6-3PB4CH-208)",2499,MSI,laptop,https://www.iris.ma/25738-ecran-27-uhd-4k-msi-pro-mp273u-9s6-3pb4ch-208.html,2026-05-04 02:54:16.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-53-49_#2026-05-04T02-53-49Z,iris,iris_iris_moniteur_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-53-49_,"Écran 27"" UHD 4K MSI Pro MP273U (9S6-3PB4CH-208)",2499,MSI,moniteur,https://www.iris.ma/25738-ecran-27-uhd-4k-msi-pro-mp273u-9s6-3pb4ch-208.html,2026-05-04 02:53:49.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-53-35_#2026-05-04T02-53-35Z,iris,iris_iris_moniteur_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-53-35_,"Écran 27"" UHD 4K MSI Pro MP273U (9S6-3PB4CH-208)",2499,MSI,moniteur,https://www.iris.ma/25738-ecran-27-uhd-4k-msi-pro-mp273u-9s6-3pb4ch-208.html,2026-05-04 02:53:35.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-53-42_#2026-05-04T02-53-42Z,iris,iris_iris_moniteur_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-53-42_,"Écran 27"" UHD 4K MSI Pro MP273U (9S6-3PB4CH-208)",2499,MSI,moniteur,https://www.iris.ma/25738-ecran-27-uhd-4k-msi-pro-mp273u-9s6-3pb4ch-208.html,2026-05-04 02:53:42.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-54-12_#2026-05-04T02-54-12Z,iris,iris_iris_laptop_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-54-12_,"Écran 27"" UHD 4K MSI Pro MP273U (9S6-3PB4CH-208)",2499,MSI,laptop,https://www.iris.ma/25738-ecran-27-uhd-4k-msi-pro-mp273u-9s6-3pb4ch-208.html,2026-05-04 02:54:12.000000 UTC,2026-05-04,2,2
iris#iris_iris_laptop_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-54-39_#2026-05-04T02-54-39Z,iris,iris_iris_laptop_cran_27__uhd_4k_msi_pro_mp273_177558_2026-05-04_02-54-39_,"Écran 27"" UHD 4K MSI Pro MP273U (9S6-3PB4CH-208)",2499,MSI,laptop,https://www.iris.ma/25738-ecran-27-uhd-4k-msi-pro-mp273u-9s6-3pb4ch-208.html,2026-05-04 02:54:39.000000 UTC,2026-05-04,2,2
iris#iris_iris_moniteur_asus_rog_strix_xg49vq__cran_pl_cf3347_2026-05-04_03-46-11_#2026-05-04T03-46-11Z,iris,iris_iris_moniteur_asus_rog_strix_xg49vq__cran_pl_cf3347_2026-05-04_03-46-11_,"ASUS ROG Strix XG49VQ écran plat de PC 124,5 cm (49"") 3840 x 1080 pixels Full HD Ultra large LED Noir (90LM04H0-B01170)",11499,ASUS,moniteur,https://www.iris.ma/17122-asus-rog-strix-xg49vq-ecran-plat-de-pc-124-5-cm-49-3840-x-1080-pixels-full-hd-ultra-large-led-noir-90lm04h0-b01170.html,2026-05-04 03:46:11.000000 UTC,2026-05-04,3,2
iris#iris_iris_moniteur_asus_rog_strix_xg49vq__cran_pl_cf3347_2026-05-04_03-55-38_#2026-05-04T03-55-38Z,iris,iris_iris_moniteur_asus_rog_strix_xg49vq__cran_pl_cf3347_2026-05-04_03-55-38_,"ASUS ROG Strix XG49VQ écran plat de PC 124,5 cm (49"") 3840 x 1080 pixels Full HD Ultra large LED Noir (90LM04H0-B01170)",11499,ASUS,moniteur,https://www.iris.ma/17122-asus-rog-strix-xg49vq-ecran-plat-de-pc-124-5-cm-49-3840-x-1080-pixels-full-hd-ultra-large-led-noir-90lm04h0-b01170.html,2026-05-04 03:55:38.000000 UTC,2026-05-04,3,2
iris#iris_iris_moniteur_asus_rog_strix_xg49vq__cran_pl_cf3347_2026-05-04_03-52-19_#2026-05-04T03-52-19Z,iris,iris_iris_moniteur_asus_rog_strix_xg49vq__cran_pl_cf3347_2026-05-04_03-52-19_,"ASUS ROG Strix XG49VQ écran plat de PC 124,5 cm (49"") 3840 x 1080 pixels Full HD Ultra large LED Noir (90LM04H0-B01170)",11499,ASUS,moniteur,https://www.iris.ma/17122-asus-rog-strix-xg49vq-ecran-plat-de-pc-124-5-cm-49-3840-x-1080-pixels-full-hd-ultra-large-led-noir-90lm04h0-b01170.html,2026-05-04 03:52:19.000000 UTC,2026-05-04,3,2
iris#iris_iris_laptop_apple_macbook_air_m1_13_pouces_7dd0e5_2026-05-04_03-56-09_#2026-05-04T03-56-09Z,iris,iris_iris_laptop_apple_macbook_air_m1_13_pouces_7dd0e5_2026-05-04_03-56-09_,Apple MacBook Air M1 13 pouces (2020) (MGN63FN/A),8899,APPLE,laptop,https://www.iris.ma/47013-apple-macbook-air-m1-13-pouces-2020-mgn63fn-a.html,2026-05-04 03:56:09.000000 UTC,2026-05-04,3,2
iris#iris_iris_laptop_apple_macbook_air_m1_13_pouces_7dd0e5_2026-05-04_03-46-30_#2026-05-04T03-46-30Z,iris,iris_iris_laptop_apple_macbook_air_m1_13_pouces_7dd0e5_2026-05-04_03-46-30_,Apple MacBook Air M1 13 pouces (2020) (MGN63FN/A),8899,APPLE,laptop,https://www.iris.ma/47013-apple-macbook-air-m1-13-pouces-2020-mgn63fn-a.html,2026-05-04 03:46:30.000000 UTC,2026-05-04,3,2
